,segments_start,segments_end,sentence,chunk_name,parent_name,translations
159,62.0,71.0,file को gchem3d में देखने के लिए इसे file formats जैसे mol mdl और pdb में सेव करना पड़ता है,100356_CwvWvuD1g8RaNQ2j_0015,CwvWvuD1g8RaNQ2j,To view the file in gchem3d it has to be saved in file formats like mol mdl and pdb
160,71.0,75.0,file का name adenosine pdb type करें,100356_CwvWvuD1g8RaNQ2j_0016,CwvWvuD1g8RaNQ2j,type file name adenosine pdb
161,75.0,78.0,desktop पर file सेव करने के लिए desktop पर click करें,100356_CwvWvuD1g8RaNQ2j_0017,CwvWvuD1g8RaNQ2j,click on desktop to save the file on desktop
162,78.0,81.0,सेव button पर click करें,100356_CwvWvuD1g8RaNQ2j_0018,CwvWvuD1g8RaNQ2j,click on save button
163,81.0,85.0,मैं gchempaint window बंद करुँगी,100356_CwvWvuD1g8RaNQ2j_0019,CwvWvuD1g8RaNQ2j,i will close the gchempaint window
164,85.0,89.0,अब gchem3d application के बारे में सीखें,100356_CwvWvuD1g8RaNQ2j_0020,CwvWvuD1g8RaNQ2j,Now learn about gchem3d application
165,89.0,94.0,gchem3d gchempaint के utility सॉफ्टवेयर की तरह संस्थापित किया जा सकता है,100356_CwvWvuD1g8RaNQ2j_0021,CwvWvuD1g8RaNQ2j,gchem3d can be installed as utility software for gchempaint
166,94.0,98.0,synaptic package manager उपयोग करके,100356_CwvWvuD1g8RaNQ2j_0022,CwvWvuD1g8RaNQ2j,using synaptic package manager
167,98.0,100.0,synaptic package manager synaptic package manager पर जाएँ,100356_CwvWvuD1g8RaNQ2j_0023,CwvWvuD1g8RaNQ2j,synaptic package manager synaptic package manager पर जाएँ
168,100.0,104.0,quick filter quick filter box में gchempaint type करें,100356_CwvWvuD1g8RaNQ2j_0024,CwvWvuD1g8RaNQ2j,quick filter quick filter box में gchempaint type करें
169,104.0,115.0,gchempaint utilities के पूर्ण संस्थापन के लिए gcuplugin libgcudbg और gcubin संस्थापित करें,100356_CwvWvuD1g8RaNQ2j_0025,CwvWvuD1g8RaNQ2j,install gcuplugin libgcudbg and gcubin for full installation of gchempaint utilities
170,115.0,119.0,मैंने पहले ही सारी files संस्थापित कर ली थी,100356_CwvWvuD1g8RaNQ2j_0026,CwvWvuD1g8RaNQ2j,i already installed all the files
171,119.0,124.0,gchem3d 3 डाइमेंशनल मॉलिक्यूलर structure विज्युलाइज़र visualizer है,100356_CwvWvuD1g8RaNQ2j_0027,CwvWvuD1g8RaNQ2j,gchem3d is a 3 dimensional molecular structure visualizer
172,124.0,127.0,यह gchempaint का utility feature है,100356_CwvWvuD1g8RaNQ2j_0028,CwvWvuD1g8RaNQ2j,This is a utility feature of gchempaint
173,127.0,132.0,gchempaint में बनाये गए structures gchem3d में देखे जा सकते हैं,100356_CwvWvuD1g8RaNQ2j_0029,CwvWvuD1g8RaNQ2j,Structures made in gchempaint can be seen in gchem3d.
174,132.0,135.0,gchem3d खोलने के लिए dash home पर click करें,100356_CwvWvuD1g8RaNQ2j_0030,CwvWvuD1g8RaNQ2j,click on dash home to open gchem3d
175,135.0,140.0,प्रदर्शित search bar में gchem3d type करें,100356_CwvWvuD1g8RaNQ2j_0031,CwvWvuD1g8RaNQ2j,type gchem3d in the displayed search bar
176,140.0,144.0,molecules viewer icon पर click करें,100356_CwvWvuD1g8RaNQ2j_0032,CwvWvuD1g8RaNQ2j,click on the molecules viewer icon
177,144.0,150.0,gchem3d viewer window menubar और display area रखती है,100356_CwvWvuD1g8RaNQ2j_0033,CwvWvuD1g8RaNQ2j,gchem3d viewer window holds menubar and display area
178,150.0,156.0,menubar वो सभी commands रखती है जिनकी आपको gchem3d में काम करने में ज़रुरत है,100356_CwvWvuD1g8RaNQ2j_0034,CwvWvuD1g8RaNQ2j,The menubar holds all the commands you need to work in gchem3d.
179,156.0,160.0,display area खुली हुई file की विषयवस्तु प्रदर्शित करता है,100356_CwvWvuD1g8RaNQ2j_0035,CwvWvuD1g8RaNQ2j,display area displays the contents of the open file
180,160.0,166.0,file खोलने के लिए file select करें open पर click करें,100356_CwvWvuD1g8RaNQ2j_0036,CwvWvuD1g8RaNQ2j,To open the file select the file click on open
181,166.0,169.0,open dialog box खुलता है,100356_CwvWvuD1g8RaNQ2j_0037,CwvWvuD1g8RaNQ2j,open dialog box opens
182,169.0,172.0,file select करे जो आप खोलना चाहते हैं,100356_CwvWvuD1g8RaNQ2j_0038,CwvWvuD1g8RaNQ2j,select the file you want to open
183,172.0,177.0,मैं अपने desktop पर adenosine pdb select करुँगी,100356_CwvWvuD1g8RaNQ2j_0039,CwvWvuD1g8RaNQ2j,I will select adenosine pdb on my desktop
184,177.0,179.0,open button पर click करें,100356_CwvWvuD1g8RaNQ2j_0040,CwvWvuD1g8RaNQ2j,click on open button
185,179.0,182.0,displayed area पर file प्रदर्शित हुई है,100356_CwvWvuD1g8RaNQ2j_0041,CwvWvuD1g8RaNQ2j,file is displayed on the displayed area
186,182.0,185.0,अब दृश्य को image की तरह सेव करना सीखें,100356_CwvWvuD1g8RaNQ2j_0042,CwvWvuD1g8RaNQ2j,Now learn how to save a scene as an image
187,185.0,190.0,file पर click करें save as image पर जाएँ,100356_CwvWvuD1g8RaNQ2j_0043,CwvWvuD1g8RaNQ2j,click on file go to save as image
188,190.0,192.0,save as image dialog box खुलता है,100356_CwvWvuD1g8RaNQ2j_0044,CwvWvuD1g8RaNQ2j,save as image dialog box opens
189,192.0,197.0,नीचे width और height parameters पर ध्यान दें,100356_CwvWvuD1g8RaNQ2j_0045,CwvWvuD1g8RaNQ2j,Pay attention to the width and height parameters below
190,197.0,204.0,default image size width 300 pixels और height 300 pixels रखती है,100356_CwvWvuD1g8RaNQ2j_0046,CwvWvuD1g8RaNQ2j,default image size width 300 pixels और height 300 pixels रखती है
191,204.0,209.0,आप scrollers scrollers उपयोग करके values को बड़ा या घटा सकते हैं,100356_CwvWvuD1g8RaNQ2j_0047,CwvWvuD1g8RaNQ2j,You can increase or decrease the values ​​using scrollers
192,209.0,211.0,अब file type विकल्प पर,100356_CwvWvuD1g8RaNQ2j_0048,CwvWvuD1g8RaNQ2j,now on file type option
193,211.0,215.0,gchem3d अनेक file formats का समर्थन करता है,100356_CwvWvuD1g8RaNQ2j_0049,CwvWvuD1g8RaNQ2j,gchem3d supports multiple file formats
194,215.0,225.0,file types जैसे vrml pdf png और अन्य drop down सूची में उपलब्ध हैं,100356_CwvWvuD1g8RaNQ2j_0050,CwvWvuD1g8RaNQ2j,file types like vrml pdf png and others are available in drop down list
195,225.0,232.0,अगर file का प्रकार नहीं स्पष्ट किया जाता तो gchem3d file के प्रकार को file के name से निर्धारित करने के लिए प्रयास करता है,100356_CwvWvuD1g8RaNQ2j_0051,CwvWvuD1g8RaNQ2j,"If the file type is not specified, gchem3d tries to determine the file type from the file name."
196,232.0,238.0,अगर यह सफल नहीं होता है तो default file type में vrml उपयोग किया जायेगा,100356_CwvWvuD1g8RaNQ2j_0052,CwvWvuD1g8RaNQ2j,If this is not successful then the default file type vrml will be used.
197,238.0,243.0,अब structure को vrml file format में सेव करें,100356_CwvWvuD1g8RaNQ2j_0053,CwvWvuD1g8RaNQ2j,Now save the structure in vrml file format
198,243.0,247.0,vrml document विकल्प select करें,100356_CwvWvuD1g8RaNQ2j_0054,CwvWvuD1g8RaNQ2j,select vrml document option
199,247.0,251.0,file का name adenosine adenosine type करें,100356_CwvWvuD1g8RaNQ2j_0055,CwvWvuD1g8RaNQ2j,type file name adenosine adenosine
200,251.0,254.0,desktop पर file सेव करने के लिए desktop पर click करें,100356_CwvWvuD1g8RaNQ2j_0056,CwvWvuD1g8RaNQ2j,click on desktop to save the file on desktop
201,254.0,257.0,सेव button पर click करें,100356_CwvWvuD1g8RaNQ2j_0057,CwvWvuD1g8RaNQ2j,click on save button
202,257.0,262.0,अब हम सीखेंगे कि वास्तव में vrmlफाइल type क्या है,100356_CwvWvuD1g8RaNQ2j_0058,CwvWvuD1g8RaNQ2j,Now we will learn what exactly is vrml file type
203,262.0,268.0,vrml  wrl extension के साथ text file format है,100356_CwvWvuD1g8RaNQ2j_0059,CwvWvuD1g8RaNQ2j,vrml is text file format with wrl extension
204,268.0,275.0,3d पालीगान properties जैसे vertices vertices edges edges surface color surface color उल्लिखित किये जा सकते हैं,100356_CwvWvuD1g8RaNQ2j_0060,CwvWvuD1g8RaNQ2j,3d polygon properties like vertices vertices edges edges surface color surface color can be specified
205,275.0,280.0,vrml files plain text हैं जो gzip में compress होती हैं,100356_CwvWvuD1g8RaNQ2j_0061,CwvWvuD1g8RaNQ2j,vrml files are plain text compressed in gzip
206,280.0,285.0,3d modeling programs objects और scenes को इसमें सेव करते हैं,100356_CwvWvuD1g8RaNQ2j_0062,CwvWvuD1g8RaNQ2j,3d modeling programs save objects and scenes in
207,285.0,288.0,अब सेव की हुई file को खोलें,100356_CwvWvuD1g8RaNQ2j_0063,CwvWvuD1g8RaNQ2j,now open the saved file
208,288.0,295.0,adenosine wrl पर right click करें open with text editor विकल्प चुनें,100356_CwvWvuD1g8RaNQ2j_0064,CwvWvuD1g8RaNQ2j,right click on adenosine wrl select open with text editor option
209,295.0,301.0,text editor structure के बारे में सारा विवरण दर्शाता है,100356_CwvWvuD1g8RaNQ2j_0065,CwvWvuD1g8RaNQ2j,Shows all the details about the text structure editor
210,301.0,304.0,अब page setup पर जाते हैं,100356_CwvWvuD1g8RaNQ2j_0066,CwvWvuD1g8RaNQ2j,Now go to page setup
211,304.0,309.0,gchem3d printing के समय 300 dpi resolution उपयोग करता है,100356_CwvWvuD1g8RaNQ2j_0067,CwvWvuD1g8RaNQ2j,gchem3d uses 300 dpi resolution when printing
212,309.0,314.0,पेज setup properties gchempaint में properties के समान ही है,100356_CwvWvuD1g8RaNQ2j_0068,CwvWvuD1g8RaNQ2j,The page setup properties is the same as properties in gchempaint
213,314.0,319.0,इस क्रम में gchempaint tutorials में मैंने पहले ही विचार किया था,100356_CwvWvuD1g8RaNQ2j_0069,CwvWvuD1g8RaNQ2j,In gchempaint tutorials I already considered in this sequence
214,319.0,321.0,मैं window close करुँगी,100356_CwvWvuD1g8RaNQ2j_0070,CwvWvuD1g8RaNQ2j,i will close the window
215,321.0,325.0,अब view menu पर जाएँ,100356_CwvWvuD1g8RaNQ2j_0071,CwvWvuD1g8RaNQ2j,now go to view menu
216,325.0,327.0,view menu select करें,100356_CwvWvuD1g8RaNQ2j_0072,CwvWvuD1g8RaNQ2j,select view menu
217,327.0,332.0,gchem3d निम्न चार model types उपयोग करके एक अणु प्रदर्शित करता है:,100356_CwvWvuD1g8RaNQ2j_0073,CwvWvuD1g8RaNQ2j,gchem3d displays a molecule using the following four model types:
218,332.0,335.0,balls and sticks balls and sticks * space filling space filling,100356_CwvWvuD1g8RaNQ2j_0074,CwvWvuD1g8RaNQ2j,balls and sticks balls and sticks * space filling space filling
219,335.0,339.0,cylinders cylinders और * wireframe wireframe,100356_CwvWvuD1g8RaNQ2j_0075,CwvWvuD1g8RaNQ2j,cylinders cylinders और * wireframe wireframe
220,339.0,342.0,balls and sticks default model है,100356_CwvWvuD1g8RaNQ2j_0076,CwvWvuD1g8RaNQ2j,balls and sticks default model है
221,342.0,348.0,इस model को उपयोग करके multiple bond और correct bond स्थितियों को देखे जा सकते हैं,100356_CwvWvuD1g8RaNQ2j_0077,CwvWvuD1g8RaNQ2j,Multiple bond and correct bond situations can be seen using this model.
222,348.0,353.0,मैं space filling पर click करुँगी और आप भिन्नता देख सकते हैं,100356_CwvWvuD1g8RaNQ2j_0078,CwvWvuD1g8RaNQ2j,I'll click on space filling and you can see the difference
223,353.0,358.0,space filling model अणुओं को compact form में दर्शाता है,100356_CwvWvuD1g8RaNQ2j_0079,CwvWvuD1g8RaNQ2j,space filling model represents molecules in compact form
224,358.0,363.0,cylinders model structure को cylindrical pipes की form में दर्शाता है,100356_CwvWvuD1g8RaNQ2j_0080,CwvWvuD1g8RaNQ2j,cylinders model shows the structure in the form of cylindrical pipes
225,363.0,368.0,wireframe model structure का ढांचा दर्शाता है,100356_CwvWvuD1g8RaNQ2j_0081,CwvWvuD1g8RaNQ2j,Wireframe shows the structure of the model structure
226,368.0,371.0,balls and sticks पर वापस आते हैं,100356_CwvWvuD1g8RaNQ2j_0082,CwvWvuD1g8RaNQ2j,back to balls and sticks
227,371.0,374.0,अब हम background color पर जाते हैं,100356_CwvWvuD1g8RaNQ2j_0083,CwvWvuD1g8RaNQ2j,Now we go to background color
228,374.0,377.0,default background color ब्लैक है,100356_CwvWvuD1g8RaNQ2j_0084,CwvWvuD1g8RaNQ2j,default background color is black
229,377.0,381.0,view menu select करें background color पर जाएँ,100356_CwvWvuD1g8RaNQ2j_0085,CwvWvuD1g8RaNQ2j,go to view menu select background color
230,381.0,383.0,एक menu खुलता है,100356_CwvWvuD1g8RaNQ2j_0086,CwvWvuD1g8RaNQ2j,a menu opens
231,383.0,386.0,menu के अंत से custom color select करें,100356_CwvWvuD1g8RaNQ2j_0087,CwvWvuD1g8RaNQ2j,select custom color from the bottom of the menu
232,386.0,390.0,background colour window खुलती है,100356_CwvWvuD1g8RaNQ2j_0088,CwvWvuD1g8RaNQ2j,background color window opens
233,390.0,395.0,जो हम चाहते हैं उस रंग को चुनने के लिए यह window अनेक क्षेत्र रखती है,100356_CwvWvuD1g8RaNQ2j_0089,CwvWvuD1g8RaNQ2j,This window has several fields to choose the color we want.
234,395.0,399.0,ह्यू hue उपयोग करके hue background color बदल सकते हैं,100356_CwvWvuD1g8RaNQ2j_0090,CwvWvuD1g8RaNQ2j,hue background color can be changed using hue hue
235,399.0,405.0,scroller पर click करें color circle की value और गतिविधि में बदलाव देखें,100356_CwvWvuD1g8RaNQ2j_0091,CwvWvuD1g8RaNQ2j,Click on the scroller to see the color circle's value and activity change.
236,405.0,411.0,saturation saturation उपयोग करके हम color की कान्सन्ट्रेशन बदल सकते हैं,100356_CwvWvuD1g8RaNQ2j_0092,CwvWvuD1g8RaNQ2j,We can change the concentration of color by using saturation
237,411.0,419.0,value उपयोग करके समान color के भिन्न shades प्राप्त करने के लिए rgb combination बदल सकते हैं,100356_CwvWvuD1g8RaNQ2j_0093,CwvWvuD1g8RaNQ2j,You can change the rgb combination to get different shades of the same color using value
238,419.0,424.0,इसके आगे एक eyedropper eyedropper icon के साथ प्रीव्यू box है,100356_CwvWvuD1g8RaNQ2j_0094,CwvWvuD1g8RaNQ2j,Next to it is a preview box with an eyedropper eyedropper icon
239,424.0,427.0,eyedropper icon पर click करें,100356_CwvWvuD1g8RaNQ2j_0095,CwvWvuD1g8RaNQ2j,click on the eyedropper icon
240,427.0,431.0,अपने महत्व का color चुनने के लिए color ring पर कहीं भी click करें,100356_CwvWvuD1g8RaNQ2j_0096,CwvWvuD1g8RaNQ2j,Click anywhere on the color ring to choose the color of your importance
241,431.0,438.0,ok button पर click करें screen पर background color बदल जाता है,100356_CwvWvuD1g8RaNQ2j_0097,CwvWvuD1g8RaNQ2j,click on the ok button the background color changes on the screen
242,438.0,440.0,अब सारांशित करते हैं कि हमने क्या सीखा,100356_CwvWvuD1g8RaNQ2j_0098,CwvWvuD1g8RaNQ2j,Now let's summarize what we learned
243,440.0,443.0,इस tutorial में हमने निम्न के बारे में सीखा,100356_CwvWvuD1g8RaNQ2j_0099,CwvWvuD1g8RaNQ2j,In this tutorial we learned about the following
244,443.0,446.0,भिन्न menus file type formats,100356_CwvWvuD1g8RaNQ2j_0100,CwvWvuD1g8RaNQ2j,Different menus file type formats
245,446.0,450.0,model types और background color कैसे बदलें,100356_CwvWvuD1g8RaNQ2j_0101,CwvWvuD1g8RaNQ2j,how to change model types and background color
246,450.0,453.0,यहाँ एक नियत कार्य है,100356_CwvWvuD1g8RaNQ2j_0102,CwvWvuD1g8RaNQ2j,here is an assignment
247,453.0,459.0,1 gchempaint से saccharide load करें और file को  mdl format में सेव करें,100356_CwvWvuD1g8RaNQ2j_0103,CwvWvuD1g8RaNQ2j,1 load saccharide with gchempaint and save the file in mdl format
248,459.0,462.0,2 molecules viewer मॉलेक्युल्स व्यूअर में structure खोलें,100356_CwvWvuD1g8RaNQ2j_0104,CwvWvuD1g8RaNQ2j,2 molecules viewer Open the structure in the molecules viewer
249,462.0,466.0,3 image को png और pdf file types में सेव करें,100356_CwvWvuD1g8RaNQ2j_0105,CwvWvuD1g8RaNQ2j,3 Save the image in png and pdf file types
250,466.0,469.0,4 अनेक background colors का प्रयास करें,100356_CwvWvuD1g8RaNQ2j_0106,CwvWvuD1g8RaNQ2j,Try 4 different background colors
251,469.0,473.0,इस url पर उपलब्ध video देखें,100356_CwvWvuD1g8RaNQ2j_0107,CwvWvuD1g8RaNQ2j,watch video available on this url
252,473.0,476.0,यह spoken tutorial project को सारांशित करता है,100356_CwvWvuD1g8RaNQ2j_0108,CwvWvuD1g8RaNQ2j,This summarizes the spoken tutorial project
253,476.0,481.0,अच्छी bandwidth न मिलने पर आप इसे download करके देख सकते हैं,100356_CwvWvuD1g8RaNQ2j_0109,CwvWvuD1g8RaNQ2j,"If you do not get good bandwidth, you can download and watch it."
254,481.0,486.0,spoken tutorial project team spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,100356_CwvWvuD1g8RaNQ2j_0110,CwvWvuD1g8RaNQ2j,The spoken tutorial project team conducts workshops using spoken tutorials
255,486.0,490.0,online test pass करने वालों को प्रमाणपत्र देते हैं,100356_CwvWvuD1g8RaNQ2j_0111,CwvWvuD1g8RaNQ2j,Certificates are given to those who pass the online test
256,490.0,497.0,अधिक जानकारी के लिए कृपया contact @spokentutorial org को लिखें,100356_CwvWvuD1g8RaNQ2j_0112,CwvWvuD1g8RaNQ2j,For more details please write to contact @spokentutorial org
257,497.0,502.0,spoken tutorial project talktoa teacher project का हिस्सा है,100356_CwvWvuD1g8RaNQ2j_0113,CwvWvuD1g8RaNQ2j,spoken tutorial project is part of talktoa teacher project
258,502.0,509.0,यह भारत सरकार के एमएचआरडी के आईसीटी के माध्यम से राष्ट्रीय साक्षरता mission द्वारा समर्थित है,100356_CwvWvuD1g8RaNQ2j_0114,CwvWvuD1g8RaNQ2j,"It is supported by National Mission on Literacy through ICT of MHRD, Government of India"
259,509.0,515.0,इस mission पर अधिक जानकारी इस लिंक पर उपलब्ध है,100356_CwvWvuD1g8RaNQ2j_0115,CwvWvuD1g8RaNQ2j,More information on this mission is available at this link
260,515.0,522.08,आई आई टी बॉम्बे से मैं श्रुति आर्य आपसे विदा लेती हूँ हमसे जुड़ने के लिए धन्यवाद,100356_CwvWvuD1g8RaNQ2j_0116,CwvWvuD1g8RaNQ2j,"I bid farewell to you, Shruti Arya from IIT Bombay. Thank you for joining us."
261,1.0,8.0,नमस्कार kturtle में question glues पर spoken tutorial में आपका स्वागत है,102503_gspRPYL3gCI1FC36_0000,gspRPYL3gCI1FC36,Hello and welcome to spoken tutorial on question glues in kturtle
262,8.0,16.0,इस tutorial में हम निम्न question glues क्वेशन glues and not सीखेंगे,102503_gspRPYL3gCI1FC36_0001,gspRPYL3gCI1FC36,In this tutorial we will learn the following question glues and not
263,16.0,29.0,इस tutorial को record करने के लिए मैं उबंटु लिनक्स os वर्ज़न 1204 और kturtle वर्ज़न 081 बीटा का उपयोग कर रही हूँ,102503_gspRPYL3gCI1FC36_0002,gspRPYL3gCI1FC36,I am using ubuntu linux os version 1204 and kturtle version 081 beta to record this tutorial
264,29.0,39.0,हम मानते हैं कि आपको kturtle के कार्य का बुनियादी और kturtle में ifelse statement का ज्ञान है,102503_gspRPYL3gCI1FC36_0003,gspRPYL3gCI1FC36,We assume that you have basic working knowledge of kturtle and ifelse statement in kturtle
265,39.0,46.0,यदि नहीं तो संबंधित tutorials के लिए कृपया हमारी website,102503_gspRPYL3gCI1FC36_0004,gspRPYL3gCI1FC36,If not then please visit our website for related tutorials
266,46.0,51.0,आगे बढ़ने से पहले मैं question glue शब्दों के बारे में समझाती हूँ,102503_gspRPYL3gCI1FC36_0005,gspRPYL3gCI1FC36,Before going ahead let me explain about question glue words
267,51.0,60.0,question glue शब्द हमें छोटे क्वेशन को एक बड़े क्वेशन में glue करने के लिए सक्षम बनाते हैं,102503_gspRPYL3gCI1FC36_0006,gspRPYL3gCI1FC36,question glue words enable us to glue smaller questions into one larger question
268,60.0,71.0,and or और not कुछ glue शब्द हैं glue शब्द ifelse conditions के साथ एकसाथ उपयोगी होते हैं,102503_gspRPYL3gCI1FC36_0007,gspRPYL3gCI1FC36,and or and not are some glue words. glue words are useful together with ifelse conditions.
269,71.0,75.0,अब नया kturtle application खोलते हैं,102503_gspRPYL3gCI1FC36_0008,gspRPYL3gCI1FC36,Now open a new kurtle application
270,75.0,78.0,dash home पर click करें,102503_gspRPYL3gCI1FC36_0009,gspRPYL3gCI1FC36,click on dash home
271,78.0,82.0,search bar में kturtle type करें,102503_gspRPYL3gCI1FC36_0010,gspRPYL3gCI1FC36,type kurtle in the search bar
272,82.0,84.0,और option पर click करें,102503_gspRPYL3gCI1FC36_0011,gspRPYL3gCI1FC36,and click on option
273,84.0,88.0,अब glue शब्द and के साथ tutorial शुरू करते हैं,102503_gspRPYL3gCI1FC36_0012,gspRPYL3gCI1FC36,Now let's start the tutorial with glue word and
274,88.0,93.0,मेरे पास text editor में program पहले से ही है,102503_gspRPYL3gCI1FC36_0013,gspRPYL3gCI1FC36,I already have the program in the text editor
275,93.0,100.0,मैं text editor से code copy करके kturtle editor में paste करती हूँ,102503_gspRPYL3gCI1FC36_0014,gspRPYL3gCI1FC36,I copy the code from text editor and paste it in kturtle editor
276,100.0,106.0,कृपया यहाँ tutorial रोकें और अपने kturtle editor में program type करें,102503_gspRPYL3gCI1FC36_0015,gspRPYL3gCI1FC36,Please stop the tutorial here and type program in your kurtle editor
277,106.0,110.0,program टाइप करने के बाद tutorial पुनः आरंभ करें,102503_gspRPYL3gCI1FC36_0016,gspRPYL3gCI1FC36,restart tutorial after typing program
278,110.0,112.0,मैं program text को zoom करती हूँ,102503_gspRPYL3gCI1FC36_0017,gspRPYL3gCI1FC36,i zoom program text
279,112.0,116.0,यह थोड़ा धुंधला हो सकता है,102503_gspRPYL3gCI1FC36_0018,gspRPYL3gCI1FC36,it might be a little hazy
280,116.0,119.0,code को देखें,102503_gspRPYL3gCI1FC36_0019,gspRPYL3gCI1FC36,refer to the code
281,119.0,124.0,reset command turtle को default position में sets करती है,102503_gspRPYL3gCI1FC36_0020,gspRPYL3gCI1FC36,reset command sets turtle to default position
282,124.0,130.0,keyword message के बाद program में message दोहरे उद्धरणचिन्हों में दिया गया है,102503_gspRPYL3gCI1FC36_0021,gspRPYL3gCI1FC36,The message in the program is given in double quotes after the keyword message.
283,130.0,134.0,message command string को input के रूप में लेती है,102503_gspRPYL3gCI1FC36_0022,gspRPYL3gCI1FC36,takes message command string as input
284,134.0,144.0,यह string से text सम्मिलित करते हुए एक popअप dialog box प्रदर्शित करता है और non null strings के लिए एक beep करता है,102503_gspRPYL3gCI1FC36_0023,gspRPYL3gCI1FC36,It displays a popup dialog box inserting text from the string and beeps for non null strings.
285,144.0,150.0,$a $b और $c variables हैं जो यूजर input संचित करते हैं,102503_gspRPYL3gCI1FC36_0024,gspRPYL3gCI1FC36,$a $b and $c are variables that store user input
286,150.0,156.0,ask command variables में संचित होने वाले यूजर input के लिए prompts करती है,102503_gspRPYL3gCI1FC36_0025,gspRPYL3gCI1FC36,The ask command prompts for user input to be stored in variables.
287,156.0,169.0,if $a + $b> $c और $b + $c> $a और $c + $a> $b if condition को checks करता है,102503_gspRPYL3gCI1FC36_0026,gspRPYL3gCI1FC36,if $a + $b> $c and $b + $c> $a and $c + $a> $b checks the if condition
288,169.0,175.0,जब दो glued क्वेशन and के साथ true होते हैं तो परिणाम true होता है,102503_gspRPYL3gCI1FC36_0027,gspRPYL3gCI1FC36,When two glued queries together with and are true then the result is true
289,175.0,185.0,if $a ! = $b और $a ! = $c और $a ! = $a if condition को checks करता है,102503_gspRPYL3gCI1FC36_0028,gspRPYL3gCI1FC36,if $ a ! = $b and $a ! = $c and $a ! = $a checks the if condition
290,185.0,192.0,जब if condition true से ऊपर होती है control nested if block में स्थानांतरित होता है,102503_gspRPYL3gCI1FC36_0029,gspRPYL3gCI1FC36,When the if condition is above true the control is transferred to the nested if block
291,192.0,197.0,यह checks करता है कि यदि त्रिकोण के भाग असमान हैं,102503_gspRPYL3gCI1FC36_0030,gspRPYL3gCI1FC36,Checks if the sides of the triangle are unequal
292,197.0,202.0,fontsize 18 print command द्वारा उपयोगित font size को sets करता है,102503_gspRPYL3gCI1FC36_0031,gspRPYL3gCI1FC36,fontsize 18 sets the font size used by the print command
293,202.0,215.0,go 10100 turtle को canvas के बाएँ से 10 pixels और canvas के ऊपरी ओर से 100 pixels स्थानांतरित होने के लिए नियंत्रित करता है,102503_gspRPYL3gCI1FC36_0032,gspRPYL3gCI1FC36,go 10100 controls the turtle to move 10 pixels from the left of the canvas and 100 pixels from the top of the canvas
294,215.0,221.0,print command if condition की checking के बाद string दर्शाती है,102503_gspRPYL3gCI1FC36_0033,gspRPYL3gCI1FC36,print command shows string after checking if condition
295,221.0,228.0,else command else condition को checks करती है जब if condition block में false हो,102503_gspRPYL3gCI1FC36_0034,gspRPYL3gCI1FC36,else command checks the else condition when the if condition is false in the block
296,228.0,234.0,print command else condition की checking के बाद string दर्शाती है,102503_gspRPYL3gCI1FC36_0035,gspRPYL3gCI1FC36,print command displays the string after checking the else condition
297,234.0,237.0,else command आखिरी condition को checks करती है,102503_gspRPYL3gCI1FC36_0036,gspRPYL3gCI1FC36,else command checks the last condition
298,237.0,243.0,यहाँ else checked होती है जब उपर्युक्त conditions false होती हैं,102503_gspRPYL3gCI1FC36_0037,gspRPYL3gCI1FC36,Here else is checked when the above condition is false.
299,243.0,252.0,print command else condition की checking के बाद string दर्शाती है मैं सभी conditions को check करने के लिए code रन करूँगी,102503_gspRPYL3gCI1FC36_0038,gspRPYL3gCI1FC36,print command after checking the else condition shows the string i will run the code to check all the conditions
300,252.0,255.0,program रन करने के लिए run button पर click करें,102503_gspRPYL3gCI1FC36_0039,gspRPYL3gCI1FC36,Click on run button to run the program
301,255.0,260.0,एक message dialog box popsअप होता है अब ok पर click करें,102503_gspRPYL3gCI1FC36_0040,gspRPYL3gCI1FC36,"A message dialog box pops up, now click on ok"
302,260.0,265.0,ab की लंबाई के लिए 5 प्रविष्ट करें और ok पर click करें,102503_gspRPYL3gCI1FC36_0041,gspRPYL3gCI1FC36,Enter 5 for the length of ab and click ok
303,265.0,269.0,bc की लंबाई के लिए 8 प्रविष्ट करें और ok पर click करें,102503_gspRPYL3gCI1FC36_0042,gspRPYL3gCI1FC36,Enter 8 for the length of bc and click ok
304,269.0,273.0,ac की लंबाई के लिए 9 प्रविष्ट करें और ok पर click करें,102503_gspRPYL3gCI1FC36_0043,gspRPYL3gCI1FC36,Enter 9 for the length of ac and click on ok
305,273.0,277.0,a scalene triangle canvas पर प्रदर्शित होता है,102503_gspRPYL3gCI1FC36_0044,gspRPYL3gCI1FC36,a scalene triangle displayed on a canvas
306,277.0,280.0,फिर से रन करें,102503_gspRPYL3gCI1FC36_0045,gspRPYL3gCI1FC36,run again
307,280.0,284.0,एक message dialog box popsअप होता है ok पर click करें,102503_gspRPYL3gCI1FC36_0046,gspRPYL3gCI1FC36,"A message dialog box pops up, click on ok"
308,284.0,298.0,ab ab की लंबाई के लिए 5 प्रविष्ट करें और ok पर click करें bc की लंबाई के लिए 6 प्रविष्ट करें और ok पर click करें ac की लंबाई के लिए 6 प्रविष्ट करें और ok पर click करें,102503_gspRPYL3gCI1FC36_0047,gspRPYL3gCI1FC36,ab enter 5 for the length of ab and click ok enter 6 for the length of bc and click ok enter 6 for the length of ac and click ok
